id,name,smiles,formula
183,R-CF3-TMG-Segphos,C[Ge](C)(C)c1cc(P(c2cc([Ge](C)(C)C)cc([Ge](C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)ccc4c2OCO4)OCO3)cc([Ge](C)(C)C)c1,C54H56F12Ge4O4P2
184,R-CF3-TMS-4F-Segphos,C[Si](C)(C)c1cc(P(c2cc([Si](C)(C)C)c(F)c([Si](C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)ccc4c2OCO4)OCO3)cc([Si](C)(C)C)c1F,C54H54F14O4P2Si4
185,R-CF3-TMS-Segphos,C[Si](C)(C)c1cc(P(c2cc([Si](C)(C)C)cc([Si](C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)ccc4c2OCO4)OCO3)cc([Si](C)(C)C)c1,C54H56F12O4P2Si4
186,R-DTBM-Difluorophos,COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)ccc4c2OC(F)(F)O4)OC(F)(F)O3)cc1C(C)(C)C,C74H96F4O8P2
187,R-35FIP-Segphos,FC(F)(F)C(F)(c1cc(P(c2cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c2)c2ccc3c(c2-c2c(P(c4cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c4)c4cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c4)ccc4c2OCO4)OCO3)cc(C(F)(C(F)(F)F)C(F)(F)F)c1)C(F)(F)F,C62H20F56O4P2
188,R-DTBM-MeOBIPHEP,COc1cccc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c1-c1c(OC)cccc1P(c1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1)c1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1,C74H104O6P2
189,R-DTBM-Segphos,COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)ccc4c2OCO4)OCO3)cc1C(C)(C)C,C74H100O8P2
194,R-H8-BINAP,c1ccc(P(c2ccccc2)c2ccc3c(c2-c2c(P(c4ccccc4)c4ccccc4)ccc4c2CCCC4)CCCC3)cc1,C44H40P2
195,R-C3F7-Solphos,CN1CCOc2c1ccc(P(c1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c1)c1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c1)c2-c1c(P(c2cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c2)c2cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c2)ccc2c1OCCN2C,C66H30F56N2O2P2
196,R-DTBM-Solphos,COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)ccc4c2OCCN4C)OCCN3C)cc1C(C)(C)C,C78H110N2O6P2
197,R-DADM-Segphos,COc1c([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc(P(c2cc([C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)c(OC)c([C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)c2)c2ccc3c(c2-c2c(P(c4cc([C@]56C[C@H]7C[C@H](C[C@H](C7)C5)C6)c(OC)c([C@]56C[C@H]7C[C@H](C[C@H](C7)C5)C6)c4)c4cc([C@]56C[C@H]7C[C@H](C[C@H](C7)C5)C6)c(OC)c([C@]56C[C@H]7C[C@H](C[C@H](C7)C5)C6)c4)ccc4c2OCO4)OCO3)cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,C122H148O8P2
199,W002-1,C[C@H](c1ccc[c-]1-c1ccccc1P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C42H36FeP2
201,W016-1_SS,COc1ccc(P(c2ccc(OC)cc2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P([C@H]2C[C@@H]3CC[C@H]2C3)[C@H]2C[C@@H]3CC[C@H]2C3)cc1.[Fe+2].c1cc[cH-]c1,C46H52FeO2P2
202,W016-1_RR,COc1ccc(P(c2ccc(OC)cc2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P([C@@H]2C[C@@H]3CC[C@H]2C3)[C@@H]2C[C@@H]3CC[C@H]2C3)cc1.[Fe+2].c1cc[cH-]c1,C46H52FeO2P2
203,W016-1_RS,COc1ccc(P(c2ccc(OC)cc2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P([C@H]2C[C@@H]3CC[C@H]2C3)[C@@H]2C[C@@H]3CC[C@H]2C3)cc1.[Fe+2].c1cc[cH-]c1,C46H52FeO2P2
205,W017-1_RR,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)P([C@@H]1C[C@@H]2CC[C@H]1C2)[C@@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,C46H46F6FeP2
206,W017-1_RS,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)P([C@H]1C[C@@H]2CC[C@H]1C2)[C@@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,C46H46F6FeP2
207,W017-1_SS,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)P([C@H]1C[C@@H]2CC[C@H]1C2)[C@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,C46H46F6FeP2
